income,family_members,housing,rent,cars,subscriptions,travel,properties,debt,income_source,region,case_id
10871,6,own,0,2,1,1,0,2124,business,حائل,2024-088
4234,5,family,0,2,2,0,0,847,salary,المدينة المنورة,2024-089
1722,7,own,0,2,1,1,1,0,none,الرياض,2024-090
7134,5,gov,0,1,2,1,1,245,none,الدمام,2024-091
1980,1,gov,0,2,1,0,0,2284,none,القصيم,2024-092
9076,6,gov,0,1,1,2,0,6933,none,الطائف,2024-093
8531,2,family,0,1,2,0,0,0,none,جدة,2024-094
10653,4,rent,11762,1,0,3,3,258,salary,القصيم,2024-095
11978,4,gov,0,0,0,2,0,819,business,تبوك,2024-096
5351,6,rent,4497,0,0,1,0,0,freelance,الطائف,2024-097
1122,7,own,0,2,3,2,3,926,none,الطائف,2024-098
7995,4,family,0,1,1,1,0,2254,business,جدة,2024-099
5945,4,rent,1449,1,0,1,0,764,freelance,ينبع,2024-100
6557,3,rent,5470,1,3,1,0,7670,business,المدينة المنورة,2024-101
7766,6,rent,2018,2,3,1,0,1094,business,المدينة المنورة,2024-102
20160,3,family,0,2,2,1,2,664,none,حائل,2024-103
17122,2,rent,5494,1,2,1,0,14043,none,الدمام,2024-104
16068,5,own,0,3,2,3,0,19236,salary,الخبر,2024-105
6872,6,rent,8266,1,0,1,1,1017,freelance,الخبر,2024-106
4652,3,rent,3455,0,1,2,3,1264,none,ينبع,2024-107
8182,2,rent,5067,2,2,1,2,9430,none,حائل,2024-108
1771,7,rent,2974,3,1,2,1,942,pension,المدينة المنورة,2024-109
1217,6,rent,1224,1,2,0,0,1799,pension,حائل,2024-110
2885,4,family,0,1,1,2,0,3287,pension,تبوك,2024-111
6554,5,rent,4467,4,3,2,1,691,pension,الطائف,2024-112
18221,2,own,0,1,1,2,0,1710,freelance,جازان,2024-113
16443,4,rent,12459,2,0,2,1,13075,freelance,الطائف,2024-114
21017,4,own,0,1,2,3,1,0,none,الرياض,2024-115
5192,5,rent,1104,3,2,0,2,0,salary,تبوك,2024-116
20093,3,rent,21325,1,0,0,0,390,freelance,ينبع,2024-117
22010,2,rent,8371,0,2,0,0,0,freelance,ينبع,2024-118
5386,4,gov,0,1,0,2,0,0,freelance,جدة,2024-119
1714,5,rent,501,2,1,1,0,2221,freelance,القصيم,2024-120
20973,6,own,0,1,1,0,0,934,freelance,أبها,2024-121
2051,4,rent,929,1,2,2,0,2109,salary,الخبر,2024-122
1966,7,gov,0,1,2,2,0,2781,salary,جدة,2024-123
14925,5,own,0,1,0,3,1,674,pension,حائل,2024-124
15089,4,own,0,2,0,2,1,0,business,جدة,2024-125
7399,6,own,0,1,0,0,0,1480,pension,تبوك,2024-126
6353,4,rent,7905,2,1,0,1,379,pension,القصيم,2024-127
6857,3,own,0,2,1,0,1,1616,none,الدمام,2024-128
4691,2,gov,0,1,1,1,0,2484,none,الرياض,2024-129
2238,7,rent,885,1,3,1,0,959,freelance,الخبر,2024-130
10250,4,rent,3964,1,1,1,0,2560,business,الخبر,2024-131
11609,3,rent,12942,4,1,1,0,451,business,جازان,2024-132
2682,4,own,0,2,0,2,2,0,none,الجبيل,2024-133
2368,3,gov,0,2,0,0,0,2249,salary,الخبر,2024-134
4999,4,gov,0,1,0,2,0,914,pension,الخبر,2024-135
1197,4,own,0,2,2,0,0,1499,business,مكة المكرمة,2024-136
3331,4,rent,1408,2,0,2,0,297,freelance,الرياض,2024-137
5836,4,own,0,4,2,0,1,6400,business,الرياض,2024-138
6362,5,rent,3163,2,1,1,1,280,business,جدة,2024-139
11958,4,own,0,2,3,1,1,433,none,حائل,2024-140
10114,3,own,0,1,0,0,0,0,none,تبوك,2024-141
10644,4,own,0,1,0,1,1,6086,salary,القصيم,2024-142
4329,3,rent,3576,3,3,1,0,3107,salary,أبها,2024-143
4131,4,own,0,0,1,0,1,2411,business,المدينة المنورة,2024-144
6448,4,gov,0,1,2,2,0,911,salary,الدمام,2024-145
11023,4,gov,0,1,1,2,2,13206,none,ينبع,2024-146
1115,5,own,0,3,0,2,1,6267,pension,الطائف,2024-147
11899,4,family,0,2,3,3,0,2834,none,نجران,2024-148
9909,4,own,0,0,3,2,1,0,salary,المدينة المنورة,2024-149
11756,1,rent,5529,2,1,1,0,1238,business,الطائف,2024-150
4866,2,rent,2159,1,1,2,2,0,business,مكة المكرمة,2024-151
18986,4,own,0,1,1,0,0,17727,pension,مكة المكرمة,2024-152
3019,3,rent,1213,2,1,1,0,2081,none,تبوك,2024-153
1595,5,rent,4170,3,3,1,0,0,pension,حائل,2024-154
8522,4,own,0,2,2,3,0,6196,pension,أبها,2024-155
1735,4,own,0,3,3,1,1,0,pension,نجران,2024-156
4197,5,family,0,1,2,1,0,0,salary,تبوك,2024-157
6113,3,family,0,1,2,2,2,4226,pension,جدة,2024-158
8942,4,family,0,2,1,2,0,5835,none,مكة المكرمة,2024-159
1059,5,rent,1562,4,1,3,0,0,salary,الطائف,2024-160
9028,4,own,0,1,0,1,0,9554,business,ينبع,2024-161
1679,5,rent,15478,2,2,1,0,17091,salary,الجبيل,2024-162
6393,1,rent,8338,1,1,2,0,0,business,الجبيل,2024-163
15315,4,rent,4681,3,3,0,0,0,business,جازان,2024-164
945,5,rent,3183,1,0,0,0,323,freelance,مكة المكرمة,2024-165
3420,6,own,0,1,1,2,1,270,none,الدمام,2024-166
8241,4,rent,6800,1,0,2,0,453,none,مكة المكرمة,2024-167
24763,4,rent,26697,2,1,1,1,2606,pension,مكة المكرمة,2024-168
5047,4,rent,2659,1,3,1,1,0,none,جدة,2024-169
6779,4,own,0,1,2,2,0,0,salary,جدة,2024-170
3833,4,own,0,2,2,1,0,0,freelance,الخبر,2024-171
7451,2,own,0,2,0,0,0,555,none,الجبيل,2024-172
24009,3,own,0,2,0,2,0,0,freelance,أبها,2024-173
6520,1,rent,4875,2,0,1,2,0,none,الخبر,2024-174
5925,6,rent,1747,0,1,1,0,247,salary,الجبيل,2024-175
4341,5,family,0,1,1,2,0,705,freelance,القصيم,2024-176
4680,3,own,0,2,2,0,1,0,business,مكة المكرمة,2024-177
7491,4,gov,0,0,3,3,1,965,pension,القصيم,2024-178
1997,5,rent,1228,3,3,1,0,1153,business,جدة,2024-179
1920,4,own,0,1,2,1,2,2049,none,الطائف,2024-180
2711,5,own,0,1,1,1,0,231,pension,الطائف,2024-181
953,5,own,0,3,3,0,0,860,pension,الرياض,2024-182
13507,4,own,0,3,1,0,0,941,salary,حائل,2024-183
6721,3,own,0,3,0,1,0,0,none,المدينة المنورة,2024-184
11308,5,own,0,3,2,3,0,1705,none,حائل,2024-185
12481,4,own,0,2,0,3,1,0,freelance,مكة المكرمة,2024-186
24519,7,rent,26452,4,1,3,0,525,freelance,نجران,2024-187
1720,1,rent,831,4,1,0,0,220,salary,تبوك,2024-188
1267,2,own,0,1,2,0,1,274,pension,جازان,2024-189
14236,4,rent,6032,1,1,2,2,565,none,حائل,2024-190
1603,3,rent,797,2,1,0,2,0,freelance,تبوك,2024-191
7727,3,own,0,2,1,0,1,0,salary,حائل,2024-192
20079,3,rent,9840,2,1,2,0,0,none,المدينة المنورة,2024-193
10076,4,own,0,2,3,0,1,1884,salary,الدمام,2024-194
3220,5,family,0,1,2,2,0,0,pension,الجبيل,2024-195
3016,1,own,0,2,2,0,0,1970,none,المدينة المنورة,2024-196
9171,3,rent,3058,1,0,1,2,354,none,جازان,2024-197
11832,4,family,0,3,2,1,2,0,none,الجبيل,2024-198
23101,3,rent,24851,1,3,0,0,13030,salary,جازان,2024-199
5570,4,own,0,3,3,0,0,482,none,الجبيل,2024-200
5407,5,family,0,1,0,1,2,0,none,تبوك,2024-201
4989,5,own,0,1,1,1,0,0,none,الخبر,2024-202
1653,6,family,0,1,2,0,0,2586,freelance,نجران,2024-203
6742,5,own,0,2,1,0,0,613,salary,نجران,2024-204
6412,3,own,0,1,3,2,2,0,none,تبوك,2024-205
10888,1,rent,3163,3,0,0,2,0,none,مكة المكرمة,2024-206
1755,7,rent,4012,1,2,1,1,0,freelance,المدينة المنورة,2024-207
5395,4,family,0,2,2,1,1,0,pension,المدينة المنورة,2024-208
1534,5,family,0,2,3,2,1,897,freelance,المدينة المنورة,2024-209
7290,3,gov,0,2,0,2,1,887,freelance,الجبيل,2024-210
2795,5,family,0,1,1,2,0,0,business,الطائف,2024-211
10045,4,rent,6256,2,1,1,0,9840,freelance,القصيم,2024-212
14251,3,rent,7303,4,0,3,0,381,freelance,الرياض,2024-213
8382,4,own,0,1,2,0,1,0,none,القصيم,2024-214
9640,6,rent,11225,0,2,0,0,8264,business,جدة,2024-215
4868,7,own,0,1,2,0,0,2942,salary,الرياض,2024-216
3866,4,own,0,1,2,2,1,838,business,الرياض,2024-217
3198,4,rent,3915,1,0,2,0,0,salary,نجران,2024-218
11191,7,rent,4187,2,2,2,0,364,business,الطائف,2024-219
7730,3,rent,4882,2,2,0,0,503,none,جدة,2024-220
4191,1,family,0,2,0,2,2,0,business,نجران,2024-221
1190,5,family,0,1,1,2,0,0,freelance,الجبيل,2024-222
10955,1,own,0,1,1,1,1,1990,business,جدة,2024-223
9575,3,rent,3847,2,3,2,1,297,none,مكة المكرمة,2024-224
10153,6,rent,2224,2,0,2,2,8622,none,الرياض,2024-225
2317,4,own,0,1,1,0,0,0,pension,حائل,2024-226
7745,3,own,0,2,1,1,1,0,none,مكة المكرمة,2024-227
11915,4,rent,2789,2,0,1,1,0,none,الخبر,2024-228
5937,5,rent,6384,4,1,1,1,4725,business,الجبيل,2024-229
10747,5,own,0,2,3,0,1,1990,pension,الخبر,2024-230
1849,5,rent,2255,1,3,3,0,1928,business,المدينة المنورة,2024-231
6019,6,family,0,1,2,2,0,382,pension,الطائف,2024-232
21350,4,family,0,2,2,3,2,0,none,الرياض,2024-233
8319,3,own,0,1,0,2,1,663,salary,جازان,2024-234
5651,5,family,0,2,2,0,2,1641,none,مكة المكرمة,2024-235
15696,4,family,0,2,2,2,1,398,pension,جازان,2024-236
6011,4,own,0,1,1,0,0,0,salary,الدمام,2024-237
9468,5,rent,7383,2,3,1,0,0,freelance,جازان,2024-238
19781,4,rent,4017,2,1,3,1,0,freelance,الخبر,2024-239
12405,3,rent,5966,1,0,3,1,2990,salary,القصيم,2024-240
1479,7,own,0,1,1,2,1,273,pension,الرياض,2024-241
1364,4,own,0,3,3,1,0,0,salary,الرياض,2024-242
7373,5,own,0,1,1,0,1,0,pension,أبها,2024-243
6059,7,rent,4985,4,3,1,0,0,business,حائل,2024-244
8721,4,rent,7215,3,0,0,0,8485,pension,نجران,2024-245
942,5,family,0,1,0,0,0,331,salary,الخبر,2024-246
9505,3,rent,2953,1,0,0,1,568,business,تبوك,2024-247
9503,6,rent,10945,0,1,2,0,841,none,الجبيل,2024-248
11743,4,rent,12018,2,1,3,1,428,pension,الطائف,2024-249
5091,7,own,0,0,0,3,1,0,freelance,نجران,2024-250
6847,4,rent,4783,0,0,3,0,1082,business,تبوك,2024-251
5596,4,rent,4291,1,2,2,0,0,salary,الجبيل,2024-252
6634,3,rent,7173,1,1,0,0,0,freelance,ينبع,2024-253
5766,4,rent,7672,1,0,0,0,0,freelance,المدينة المنورة,2024-254
1830,6,rent,547,0,1,3,0,815,business,الدمام,2024-255
9808,6,rent,10782,1,0,0,1,0,pension,نجران,2024-256
1885,5,own,0,1,0,1,2,864,none,حائل,2024-257
10124,2,gov,0,2,2,2,0,2864,business,المدينة المنورة,2024-258
8549,1,family,0,2,1,0,1,0,pension,الدمام,2024-259
11392,3,rent,3863,1,1,1,1,0,none,الطائف,2024-260
6539,4,rent,1537,2,2,2,1,5090,none,جازان,2024-261
3596,1,family,0,0,0,0,0,828,salary,الطائف,2024-262
6360,4,own,0,0,3,3,0,722,pension,نجران,2024-263
1736,5,rent,754,1,0,0,2,943,business,الجبيل,2024-264
10726,2,own,0,1,1,0,0,0,freelance,القصيم,2024-265
6957,5,own,0,1,1,2,2,0,none,مكة المكرمة,2024-266
6914,4,family,0,2,1,0,1,0,business,تبوك,2024-267
1018,5,own,0,3,1,0,2,0,freelance,جدة,2024-268
24522,4,rent,8090,1,3,3,0,25437,salary,القصيم,2024-269
5363,4,rent,1133,1,3,2,0,0,freelance,جازان,2024-270
22040,4,rent,22778,1,1,1,0,0,business,الجبيل,2024-271
8075,4,own,0,3,2,2,2,8575,none,أبها,2024-272
11236,4,own,0,2,1,1,0,1442,salary,أبها,2024-273
9958,3,rent,6121,1,3,3,1,0,salary,تبوك,2024-274
7643,4,rent,3851,2,3,1,0,0,pension,تبوك,2024-275
4096,3,rent,2165,2,1,1,2,2752,none,الطائف,2024-276
13046,4,own,0,1,0,2,3,12217,none,الخبر,2024-277
9328,6,rent,11245,1,0,1,2,0,none,الطائف,2024-278
4871,4,own,0,2,1,1,2,0,none,الرياض,2024-279
3559,4,family,0,0,3,3,0,0,pension,الرياض,2024-280
6614,2,rent,8323,2,2,0,1,827,pension,المدينة المنورة,2024-281
2089,3,rent,2568,1,2,1,1,1093,freelance,الرياض,2024-282
2991,1,own,0,1,0,0,0,710,pension,ينبع,2024-283
6075,1,rent,1601,3,1,1,3,2580,none,الرياض,2024-284
22912,6,rent,7085,1,2,0,1,0,business,الجبيل,2024-285
1483,3,gov,0,2,1,1,3,907,none,ينبع,2024-286
9773,5,own,0,0,2,2,0,771,salary,الخبر,2024-287
10095,4,rent,7869,2,1,1,1,1564,none,نجران,2024-288
10682,4,own,0,2,1,2,1,0,pension,نجران,2024-289
1129,2,rent,286,1,1,1,1,1306,business,الدمام,2024-290
7809,5,own,0,3,2,1,0,0,salary,مكة المكرمة,2024-291
2704,4,gov,0,2,3,1,1,0,none,جدة,2024-292
1442,5,own,0,1,1,0,1,771,freelance,ينبع,2024-293
1939,4,rent,2961,2,2,1,2,1665,pension,جازان,2024-294
5493,4,family,0,1,1,2,0,0,none,المدينة المنورة,2024-295
6647,5,own,0,1,3,0,1,766,pension,الدمام,2024-296
3640,2,own,0,2,0,2,0,951,salary,ينبع,2024-297
11721,2,own,0,1,2,1,0,2802,none,حائل,2024-298
11935,3,family,0,2,0,1,1,0,salary,جازان,2024-299
2541,3,gov,0,1,2,0,0,0,none,حائل,2024-300
